Time(s),Lap(s),Distance(m),Complete%,X,Y,Z,speed(km/h),X vel,Y vel, Z vel, X Rdir, Y Rdir, Z Rdir, X Fdir, Y Fdir, Z Fdir, SP-FL,SP-FR,SP-RL,SP-RR, DampV-FL, DampV-FR,DampV-RL,DampV-RR,WheelSpd-FL,WheelSpd-FR,WheelSpd-RL,WheelSpd-RR,Throttle,Steering,Brake,Clutch,Gear,fX(G),fZ(G),LapNum,RPM,Race Pos,SectorNum,Sector1Time,Sector2Time,BrakeT-FL,BrakeT-FR,BrakeT-RL,BrakeT-RR,LastLap(s),Trajectory(deg),slipFL,slipFR,slipRL,slipRR
11.148589,0.000000,-14.610000,0.000000,1274.395264,2054.145508,1854.301147,3.723020,0.866445,-0.061670,-0.561233,0.586686,-0.076086,0.806232,0.802519,-0.078706,-0.591412,-8.276750,-6.587767,9.987758,11.839303,-47.810478,-83.722092,124.847847,102.910927,7.022282,7.022282,0.987276,1.013107,0.800000,0.067780,0.000000,0.472938,1.000000,-0.095378,0.721255,0.000000,4493.903320,1.000000,1.000000,0.000000,0.000000,-113.227020,-113.227020,-113.227020,-113.227020,0.000000,57.067184,21.557196,21.557196,-0.168827,-0.075835,
11.255905,0.000000,-14.610000,0.000000,1274.516968,2054.135742,1854.376953,6.144937,1.448269,-0.129200,-0.894105,0.581027,-0.075143,0.810408,0.807054,-0.075533,-0.585627,-13.493223,-14.516964,11.610651,12.023305,-86.560661,-123.718948,-73.446365,-59.837345,6.935254,6.935253,1.663342,1.544302,0.800000,0.046389,0.000000,0.000000,1.000000,-0.068964,0.628538,0.000000,4110.123535,1.000000,1.000000,0.000000,0.000000,-111.698456,-111.698456,-111.698456,-111.698456,0.000000,58.310448,18.821976,18.821972,-0.156907,-0.585449,
11.353453,0.000000,-14.610000,0.000000,1274.692505,2054.117920,1854.485107,8.359208,1.968689,-0.211156,-1.213001,0.573665,-0.076172,0.815540,0.812284,-0.075177,-0.578396,-16.756746,-17.559927,9.501232,11.802039,-106.655785,-39.666817,-110.661484,-22.425900,6.511925,6.511924,2.276842,2.138548,0.800000,-0.000324,0.000000,0.000000,1.000000,-0.049781,0.590798,0.000000,3859.240723,1.000000,1.000000,0.000000,0.000000,-110.187408,-110.187408,-110.187408,-110.187408,0.000000,58.360828,15.083720,15.083716,-0.162576,-0.660435,
11.449687,0.000000,-14.610000,0.000000,1274.917969,2054.092529,1854.625366,10.503523,2.459943,-0.286851,-1.542417,0.567093,-0.078559,0.819898,0.816639,-0.076011,-0.572122,-18.015303,-16.727936,6.678941,10.819243,54.382576,31.565807,-168.751083,-35.935295,6.146706,6.146706,2.827593,2.725135,0.800000,-0.019773,0.000000,0.000000,1.000000,-0.002476,0.664465,0.000000,3642.797363,1.000000,1.000000,0.000000,0.000000,-108.693573,-108.693573,-108.693573,-108.693573,0.000000,57.911732,11.624618,11.624619,-0.324187,-0.693037,
11.546272,0.000000,-14.610000,0.000000,1275.142822,2054.067383,1854.767944,12.223753,2.849633,-0.321107,-1.818190,0.562965,-0.079949,0.822605,0.819394,-0.076066,-0.568161,-18.067673,-16.163103,6.909549,12.219933,-64.028557,-44.616013,-161.481247,61.593262,5.899412,5.899412,3.316109,3.235055,0.800000,-0.038239,0.000000,0.000000,1.000000,-0.000898,0.556405,0.000000,3496.240479,1.000000,1.000000,0.000000,0.000000,-107.461884,-107.461884,-107.461884,-107.461884,0.000000,57.460346,9.014130,9.014130,-0.285760,-0.577556,
11.650920,0.000000,-14.610000,0.000000,1275.510498,2054.024414,1855.005981,14.611126,3.382062,-0.394116,-2.208832,0.560103,-0.083255,0.824229,0.820968,-0.077389,-0.565705,-20.678413,-15.289779,6.560685,10.659279,-217.180420,-79.466881,-149.478958,106.886093,5.582420,5.582420,3.957286,3.931969,0.800000,-0.030149,0.000000,0.000000,1.000000,-0.012035,0.503514,0.000000,3308.377686,1.000000,1.000000,0.000000,0.000000,-105.757172,-105.757172,-105.757172,-105.757172,0.000000,56.851360,5.485587,5.485587,-0.364896,-0.456038,
11.747465,0.000000,-14.610000,0.000000,1275.810547,2053.989746,1855.204102,16.222071,3.738819,-0.427899,-2.478578,0.560622,-0.083596,0.823841,0.820388,-0.079145,-0.566303,-19.610157,-14.319841,7.452042,10.076606,91.036926,121.659889,-34.421726,34.147327,5.433247,5.433247,4.347297,4.358305,0.800000,-0.015601,0.000000,0.000000,1.000000,0.018085,0.569080,0.000000,3219.970947,1.000000,1.000000,0.000000,0.000000,-104.553558,-104.553558,-104.553558,-104.553558,0.000000,56.458374,3.337619,3.337617,-0.571802,-0.532171,
11.852983,0.000000,-14.610000,0.000000,1276.272461,2053.938232,1855.511719,17.922291,4.121762,-0.440545,-2.757101,0.561988,-0.081741,0.823097,0.819198,-0.082613,-0.567530,-15.103302,-9.632241,3.621845,10.283868,67.976341,18.855980,-115.124176,7.546562,5.766735,5.766735,4.840275,4.858430,0.800000,-0.013087,0.000000,0.000000,1.000000,0.017976,0.408645,0.000000,3417.610107,1.000000,1.000000,0.000000,0.000000,-102.887787,-102.887787,-102.887787,-102.887787,0.000000,56.220909,2.837954,2.837955,-0.497300,-0.431941,
11.950701,0.000000,-14.610000,0.000000,1276.700195,2053.889160,1855.797852,18.980434,4.364050,-0.492615,-2.917190,0.562881,-0.081824,0.822478,0.818244,-0.085457,-0.568485,-15.409285,-9.342118,4.889520,3.841744,60.736851,-160.651062,84.963730,-252.946671,5.329035,5.329035,5.176637,5.190460,0.000000,-0.008266,0.047082,0.000000,1.000000,0.024027,0.133652,0.000000,3158.210938,1.000000,1.000000,0.000000,0.000000,-101.332245,-101.332245,-101.341644,-101.341461,0.000000,56.238880,0.204092,0.204092,-0.344543,-0.294780,
12.048897,0.000000,-14.610000,0.000000,1277.136719,2053.836670,1856.089844,18.891562,4.343071,-0.524261,-2.898409,0.563459,-0.080978,0.822166,0.816902,-0.093831,-0.569093,-14.318015,-2.151097,0.570249,-2.032853,105.893463,328.670776,-155.086578,-65.158859,4.730284,4.730284,5.167088,5.170932,0.000000,-0.003592,0.055368,0.000000,1.000000,-0.002132,-0.150190,0.000000,2803.366211,1.000000,1.000000,0.000000,0.000000,-99.554840,-99.554840,-99.542877,-99.541595,0.000000,56.282276,-1.862540,-1.862540,-0.290046,-0.276207,
12.148554,0.000000,-14.610000,0.000000,1277.564575,2053.783936,1856.375732,18.400717,4.232422,-0.499023,-2.821892,0.563881,-0.080298,0.821943,0.816030,-0.098899,-0.569486,-9.359864,4.570520,-2.802201,-5.282332,-334.134796,223.736771,167.749588,54.332829,4.542404,4.542404,5.069003,5.080422,0.000000,0.003464,0.028866,0.000000,1.000000,-0.019481,-0.142159,0.000000,2692.020020,1.000000,1.000000,0.000000,0.000000,-97.917694,-97.917694,-97.876068,-97.874481,0.000000,56.307331,-2.048064,-2.048064,-0.152308,-0.111199,
12.248202,0.000000,-14.610000,0.000000,1277.912354,2053.743896,1856.607910,17.987383,4.134804,-0.467971,-2.765749,0.563721,-0.078967,0.822182,0.815964,-0.101191,-0.569177,-5.353513,6.972609,-6.111628,-11.103498,7.470738,21.772047,212.617828,-278.050476,4.492805,4.492805,4.967227,4.966765,0.000000,-0.006557,0.000000,0.000000,1.000000,0.039360,-0.131542,0.000000,2662.625977,1.000000,1.000000,0.000000,0.000000,-96.762970,-96.762970,-96.718781,-96.717316,0.000000,56.221638,-1.813283,-1.813283,-0.105366,-0.107029,
12.355360,0.000000,-14.610000,0.000000,1278.386597,2053.687500,1856.926270,17.494875,4.009301,-0.471720,-2.705468,0.563563,-0.072595,0.822877,0.816380,-0.103203,-0.568218,-5.414435,7.251736,-5.983717,-13.613789,147.664413,48.264984,73.686440,70.591461,4.405984,4.405984,4.841094,4.829872,0.023351,-0.010316,0.000000,0.000000,1.000000,0.045239,-0.152725,0.000000,2611.172119,1.000000,1.000000,0.000000,0.000000,-95.201385,-95.201385,-95.157745,-95.156281,0.000000,55.988602,-1.633332,-1.633332,-0.066939,-0.107338,
12.454956,0.000000,-14.610000,0.000000,1278.782837,2053.639160,1857.193604,17.147808,3.925188,-0.476159,-2.656128,0.563524,-0.068267,0.823274,0.816525,-0.105259,-0.567632,-5.808001,6.680210,-5.242728,-17.192059,28.143925,-112.136566,93.998451,56.554760,4.339498,4.339498,4.736923,4.732378,0.047869,-0.005790,0.000000,0.000000,1.000000,0.029917,-0.095476,0.000000,2571.769531,1.000000,1.000000,0.000000,0.000000,-93.879547,-93.879547,-93.836273,-93.834991,0.000000,55.914257,-1.525618,-1.525618,-0.094888,-0.111250,
12.554864,0.000000,-14.438873,0.000000,1279.171265,2053.593750,1857.455811,16.821907,3.858916,-0.444948,-2.597191,0.563110,-0.068195,0.823563,0.816985,-0.103919,-0.567217,-3.216496,7.628924,-5.740770,-16.038561,152.589935,79.191078,-421.687378,22.348377,4.311952,4.311952,4.659235,4.642502,0.071144,-0.002612,0.000000,0.000000,1.000000,-0.019104,-0.107911,0.000000,2555.444336,1.000000,1.000000,0.000000,0.000000,-92.572906,-92.572906,-92.530060,-92.528778,0.000000,56.058006,-1.298881,-1.298881,-0.048659,-0.108899,
12.654936,0.000000,-13.974510,0.000000,1279.553589,2053.548096,1857.714111,16.582455,3.796374,-0.459904,-2.567772,0.563302,-0.060563,0.824029,0.817370,-0.104990,-0.566466,-6.019965,6.479166,-5.923987,-15.320736,19.618885,47.024235,-58.639759,73.444946,4.264686,4.264686,4.588373,4.579138,0.092269,-0.003219,0.000000,0.000000,1.000000,-0.004438,-0.081625,0.000000,2527.432617,1.000000,1.000000,0.000000,0.000000,-91.281219,-91.281219,-91.238800,-91.237518,0.000000,55.926567,-1.229585,-1.229585,-0.064311,-0.097557,
12.755255,0.000000,-13.515434,0.000000,1279.930664,2053.503662,1857.968994,16.401579,3.753090,-0.474031,-2.539034,0.563424,-0.054512,0.824368,0.817783,-0.105004,-0.565867,-11.159426,3.195054,-2.103294,-16.768265,-398.225433,-390.441284,-68.577347,26.991245,4.217505,4.217505,4.536892,4.527827,0.113668,0.000930,0.000000,0.000000,1.000000,-0.009922,0.010337,0.000000,2499.471191,1.000000,1.000000,0.000000,0.000000,-90.004303,-90.004303,-89.962311,-89.961151,0.000000,55.920925,-1.218561,-1.218561,-0.068768,-0.101402,
12.855194,0.000000,-13.062783,0.000000,1280.302979,2053.457520,1858.221802,16.218180,3.704489,-0.472024,-2.519808,0.563343,-0.049082,0.824764,0.818288,-0.104874,-0.565161,-8.215517,3.738076,-3.215816,-16.734751,180.618820,-60.773239,-82.781746,-93.581749,4.217776,4.217776,4.484628,4.471397,0.131207,-0.007021,0.000000,0.000000,1.000000,0.027641,-0.056190,0.000000,2499.631836,1.000000,1.000000,0.000000,0.000000,-88.741974,-88.741974,-88.700409,-88.699249,0.000000,55.776310,-1.034186,-1.034186,-0.073519,-0.121152,
12.955477,0.000000,-12.613394,0.000000,1280.672485,2053.411865,1858.471924,16.097235,3.694352,-0.429458,-2.482183,0.562609,-0.051018,0.825147,0.818524,-0.105845,-0.564637,-6.253555,7.475905,-0.772705,-11.392619,-170.814896,93.163925,-143.096695,114.995117,4.212377,4.212377,4.441550,4.430801,0.148943,0.003091,0.000000,0.000000,1.000000,-0.044877,-0.029275,0.000000,2496.432129,1.000000,1.000000,0.000000,0.000000,-87.494171,-87.494171,-87.453217,-87.451874,0.000000,56.103397,-0.932677,-0.932677,-0.107654,-0.146352,
13.055702,0.000000,-12.166354,0.000000,1281.040039,2053.368164,1858.720459,16.019915,3.665633,-0.442026,-2.483956,0.562727,-0.043423,0.825502,0.819017,-0.106045,-0.563884,-6.395163,6.623260,1.549480,-13.333494,-54.679604,-29.267305,-6.909645,4.458932,4.203816,4.203816,4.422300,4.411846,0.155028,-0.002797,0.000000,0.000000,1.000000,-0.006882,-0.016593,0.000000,2491.358643,1.000000,1.000000,0.000000,0.000000,-86.260651,-86.260651,-86.220245,-86.218903,0.000000,55.877121,-0.886178,-0.886178,-0.099634,-0.137269,
13.155674,0.000000,-11.723286,0.000000,1281.405762,2053.321289,1858.968018,15.962324,3.651094,-0.490245,-2.467660,0.562235,-0.042646,0.825877,0.818991,-0.109746,-0.563214,-7.629065,3.756492,0.792393,-11.478875,-42.379646,-32.649082,-90.434944,-6.407961,4.138375,4.138375,4.382983,4.374361,0.121670,-0.003354,0.000000,0.000000,1.000000,-0.009311,-0.022662,0.000000,2452.575439,1.000000,1.000000,0.000000,0.000000,-85.041351,-85.041351,-85.001373,-85.000092,0.000000,55.946476,-1.064173,-1.064173,-0.183587,-0.214625,
13.255630,0.000000,-11.283660,0.000000,1281.768555,2053.271729,1859.213867,15.798212,3.606038,-0.490168,-2.452390,0.562446,-0.036712,0.826019,0.818988,-0.112569,-0.562661,-3.463547,6.718424,-2.760174,-11.064623,62.608189,-26.974571,-59.831924,5.957653,4.080998,4.080998,4.359596,4.354032,0.089583,-0.004647,0.000000,0.000000,1.000000,0.017523,-0.061178,0.000000,2418.571533,1.000000,1.000000,0.000000,0.000000,-83.836151,-83.836151,-83.796600,-83.795258,0.000000,55.781208,-1.106619,-1.106620,-0.103666,-0.123697,
13.354113,0.000000,-10.855166,0.000000,1282.126343,2053.225342,1859.457275,15.571017,3.557261,-0.456157,-2.417826,0.562838,-0.032731,0.825919,0.819252,-0.110550,-0.562676,0.496960,6.951174,-3.238083,-8.909909,-71.819839,-13.784882,-15.716439,-51.886997,4.005459,4.005459,4.316113,4.315726,0.056991,-0.000251,0.000000,0.000000,1.000000,-0.000345,-0.063603,0.000000,2373.803955,1.000000,1.000000,0.000000,0.000000,-82.644684,-82.644684,-82.605499,-82.604218,0.000000,55.796547,-1.151365,-1.151365,-0.033009,-0.034404,
13.452379,0.000000,-10.433949,0.000000,1282.478027,2053.179199,1859.697021,15.266121,3.481753,-0.453799,-2.377827,0.563134,-0.027816,0.825897,0.819583,-0.108984,-0.562500,0.966280,5.430359,-1.176882,-8.990903,23.570127,-1.631421,33.107952,-43.157146,3.826192,3.826192,4.229584,4.229071,0.000000,-0.007265,0.035087,0.032836,1.000000,0.007977,-0.118884,0.000000,2265.811279,1.000000,1.000000,0.000000,0.000000,-81.358307,-81.358307,-81.308624,-81.307465,0.000000,55.669281,-1.491828,-1.491828,-0.039618,-0.041467,
13.550372,0.000000,-10.024334,0.000000,1282.820557,2053.136963,1859.930664,14.811262,3.381421,-0.403365,-2.308735,0.563182,-0.024165,0.825979,0.819844,-0.108676,-0.562178,0.531225,8.949854,1.671970,-10.698359,15.408006,5.372556,-5.858687,-110.170372,3.684245,3.684245,4.103611,4.096052,0.000000,-0.008110,0.052091,0.274629,1.000000,0.017042,-0.141705,0.000000,2163.674805,1.000000,1.000000,0.000000,0.000000,-79.950409,-79.950409,-79.873932,-79.873016,0.000000,55.675884,-1.547980,-1.547980,-0.038265,-0.065477,
13.648858,0.000000,-9.624898,0.000000,1283.152466,2053.098633,1860.157104,14.350386,3.281174,-0.383512,-2.230864,0.562740,-0.024816,0.826262,0.820099,-0.108676,-0.561807,0.667310,5.324476,1.519239,-11.372911,-14.418852,-80.462761,-110.617867,28.301722,3.554411,3.554411,3.963744,3.958854,0.000000,-0.006255,0.065979,0.579379,1.000000,-0.019706,-0.122347,0.000000,2047.997314,1.000000,1.000000,0.000000,0.000000,-78.488373,-78.488373,-78.375763,-78.375336,0.000000,55.788296,-1.554505,-1.554507,-0.080907,-0.098512,
13.747094,0.000000,-9.292677,0.000000,1283.421753,2053.069092,1860.340332,13.990492,3.196802,-0.357617,-2.180709,0.562877,-0.021249,0.826268,0.820292,-0.108334,-0.561592,2.328052,6.495768,-2.837508,-11.868991,-23.512329,-111.526649,16.406620,-67.695686,3.528417,3.528417,3.875453,3.871345,0.000000,-0.004149,0.078155,0.778828,1.000000,0.018651,-0.103889,0.000000,1981.483765,1.000000,1.000000,0.000000,0.000000,-77.229218,-77.229218,-77.085785,-77.085663,0.000000,55.700008,-1.288192,-1.288192,-0.038862,-0.053650,
13.845271,0.000000,-8.887385,0.000000,1283.737427,2053.031006,1860.555542,13.717187,3.126037,-0.398951,-2.141808,0.563012,-0.017792,0.826257,0.820613,-0.106561,-0.561461,-0.866455,7.039689,-4.840815,-16.078909,-28.242579,-28.792587,2.352233,-97.583534,3.549400,3.549400,3.799640,3.792134,0.000000,-0.018450,0.101053,0.951744,1.000000,0.032498,-0.071307,0.000000,1888.560913,1.000000,1.000000,0.000000,0.000000,-75.646332,-75.646332,-75.467987,-75.468597,0.000000,55.582966,-0.939346,-0.939346,-0.038483,-0.065504,
13.943786,0.000000,-8.516305,0.000000,1284.046753,2052.993652,1860.767578,13.460756,3.072096,-0.355604,-2.101579,0.563424,-0.016864,0.825996,0.820605,-0.104409,-0.561878,0.413454,6.702878,-1.500449,-9.987647,-24.364807,11.785618,-111.492531,50.796013,3.470267,3.470267,3.697787,3.708402,0.000000,-0.009892,0.124260,0.979271,1.000000,-0.000654,-0.076542,0.000000,1835.329590,1.000000,1.000000,0.000000,0.000000,-73.964020,-73.964020,-73.747406,-73.747406,0.000000,55.624493,-0.967795,-0.967795,-0.148724,-0.110508,
14.042204,0.000000,-8.152359,0.000000,1284.349365,2052.958740,1860.976196,13.162451,2.992661,-0.347012,-2.071624,0.564299,-0.011525,0.825490,0.820653,-0.101136,-0.562405,2.934195,5.653935,-1.422111,-13.745900,73.683296,-59.347416,-13.794236,-16.281078,3.412945,3.412945,3.636302,3.638604,0.000000,-0.012230,0.145064,0.995091,1.000000,-0.000898,-0.097473,0.000000,1804.504272,1.000000,1.000000,0.000000,0.000000,-72.199066,-72.199066,-71.937836,-71.937653,0.000000,55.307682,-0.875850,-0.875850,-0.071765,-0.063475,
14.140211,0.000000,-7.796919,0.000000,1284.644897,2052.926514,1861.178833,12.804289,2.922481,-0.310867,-2.003226,0.564565,-0.013107,0.825285,0.820969,-0.094422,-0.563112,-0.741708,7.474528,-0.240465,-9.706862,-60.844040,1.984079,101.614540,32.433903,3.288541,3.288541,3.550638,3.547598,0.000000,-0.016395,0.161527,1.000000,1.000000,0.028533,-0.110057,0.000000,1788.418945,1.000000,1.000000,0.000000,0.000000,-70.380157,-70.380157,-70.065399,-70.063568,0.000000,55.571159,-0.965542,-0.965540,-0.021993,-0.032936,
14.238306,0.000000,-7.428215,0.000000,1284.931396,2052.900146,1861.376465,12.393798,2.827258,-0.246983,-1.948832,0.565057,-0.010015,0.824991,0.820940,-0.092883,-0.563410,2.107569,5.183535,0.866039,-5.100824,-74.037659,-39.167542,-82.201797,-28.545713,3.129066,3.129066,3.395100,3.401841,0.000000,-0.001858,0.174744,1.000000,1.000000,-0.016867,-0.119142,0.000000,1782.923340,1.000000,1.000000,0.000000,0.000000,-68.542450,-68.542450,-68.166901,-68.164459,0.000000,55.421459,-1.129161,-1.129161,-0.171438,-0.147170,
14.336279,0.000000,-7.095779,0.000000,1285.207886,2052.871582,1861.567139,11.945436,2.719789,-0.309834,-1.875380,0.565255,-0.010121,0.824854,0.820943,-0.091114,-0.563694,1.109749,3.145231,-3.770233,-12.560706,-4.762125,-51.695862,-87.723518,27.254723,3.012902,3.012902,3.281231,3.288987,0.000000,-0.018937,0.183886,1.000000,1.000000,-0.010360,-0.131265,0.000000,1781.119141,1.000000,1.000000,0.000000,0.000000,-66.711212,-66.711212,-66.266754,-66.265350,0.000000,55.412518,-1.098986,-1.098986,-0.133005,-0.105081,
14.433967,0.000000,-6.776678,0.000000,1285.473267,2052.843506,1861.750610,11.458203,2.603756,-0.284905,-1.808236,0.565837,-0.007254,0.824485,0.820847,-0.089280,-0.564126,0.267036,7.062224,-2.477031,-12.966475,-33.156208,4.791523,-51.066628,-55.763077,2.897507,2.897507,3.149008,3.146257,0.000000,-0.019136,0.189610,1.000000,1.000000,0.013489,-0.142259,0.000000,1780.528320,1.000000,1.000000,0.000000,0.000000,-64.895477,-64.895477,-64.385406,-64.383270,0.000000,55.221092,-1.027180,-1.027180,-0.121774,-0.131677,
14.531992,0.000000,-6.469552,0.000000,1285.726563,2052.818359,1861.927368,10.946636,2.485561,-0.222494,-1.737393,0.566495,-0.003454,0.824058,0.820909,-0.085079,-0.564686,4.384272,7.563236,-2.805831,-9.677131,-37.583111,-57.292347,-17.867109,-9.111834,2.785992,2.785992,3.024902,3.030131,0.000000,-0.009565,0.192408,1.000000,1.000000,0.000095,-0.143846,0.000000,1780.330566,1.000000,1.000000,0.000000,0.000000,-63.110992,-63.110992,-62.539520,-62.536530,0.000000,55.046665,-0.917067,-0.917067,-0.056989,-0.038164,
14.630572,0.000000,-6.215469,0.000000,1285.929199,2052.799561,1862.068359,10.527951,2.395443,-0.236122,-1.660842,0.566674,-0.004438,0.823930,0.820974,-0.081761,-0.565081,1.220537,4.760747,-1.818136,-11.065085,-80.998734,-42.862309,-80.886795,37.676014,2.650295,2.650294,2.902776,2.909370,0.000000,-0.016341,0.194113,1.000000,1.000000,-0.016676,-0.142880,0.000000,1780.271973,1.000000,1.000000,0.000000,0.000000,-61.664764,-61.664764,-61.036835,-61.034088,0.000000,55.265121,-0.986892,-0.986892,-0.077960,-0.054218,
14.728933,0.000000,-5.932537,0.000000,1286.161377,2052.774902,1862.229980,10.008959,2.271408,-0.250580,-1.583602,0.567329,-0.003039,0.823486,0.820524,-0.082729,-0.565594,3.591709,2.214608,-5.835921,-7.814369,58.576550,-47.339706,-89.149666,-47.678001,2.524234,2.524234,2.729705,2.742486,0.000000,-0.009774,0.194081,1.000000,1.000000,-0.007928,-0.147881,0.000000,1780.250000,1.000000,1.000000,0.000000,0.000000,-59.982330,-59.982330,-59.292755,-59.287201,0.000000,55.116192,-0.921717,-0.921718,-0.182021,-0.136009,
14.827083,0.000000,-5.644907,0.000000,1286.381470,2052.754883,1862.383911,9.479684,2.149114,-0.179998,-1.510925,0.568816,-0.009270,0.822412,0.819179,-0.082905,-0.567514,1.783927,7.538845,-2.944021,-7.100448,-94.952866,-27.753391,-179.383057,-50.606945,2.388089,2.388089,2.573158,2.617481,0.000000,-0.075148,0.191568,1.000000,1.000000,0.021436,-0.143601,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-58.353485,-58.353485,-57.616058,-57.602936,0.000000,54.891026,-0.882564,-0.882564,-0.216317,-0.056752,
14.925352,0.000000,-5.389851,0.000000,1286.587646,2052.737549,1862.532715,8.965278,2.001529,-0.162777,-1.472838,0.571833,-0.003827,0.820361,0.817471,-0.081332,-0.570198,2.702670,6.404324,-6.055889,-5.617321,-41.905972,-86.133133,34.437042,-21.546814,2.275032,2.275032,2.453709,2.499838,0.000000,-0.072652,0.188662,1.000000,1.000000,0.041871,-0.142429,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-56.788177,-56.788177,-56.009308,-55.982635,0.000000,53.652275,-0.775164,-0.775164,-0.131927,0.034139,
15.023705,0.000000,-5.147961,0.000000,1286.780884,2052.721680,1862.676025,8.479594,1.889639,-0.144756,-1.398721,0.574474,-0.001681,0.818521,0.815759,-0.080928,-0.572702,3.493992,7.456262,-2.853786,-10.784105,9.365992,10.563622,-46.821640,-38.252773,2.184641,2.184641,2.319535,2.358887,0.000000,-0.068803,0.176749,1.000000,1.000000,-0.010200,-0.131701,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-55.292633,-55.292633,-54.477936,-54.440338,0.000000,53.490952,-0.614887,-0.614887,-0.129268,0.012398,
15.122562,0.000000,-4.916586,0.000000,1286.964722,2052.707764,1862.811890,8.078727,1.799669,-0.147629,-1.332419,0.577003,-0.000690,0.816742,0.814242,-0.077705,-0.575302,2.592363,4.984653,-4.878978,-10.054770,-81.404274,-31.338036,-15.052739,-70.690590,2.094918,2.094918,2.223017,2.263590,0.000000,-0.065334,0.153581,1.000000,1.000000,0.002027,-0.103628,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-53.906891,-53.906891,-53.067780,-53.019867,0.000000,53.484905,-0.537024,-0.537024,-0.075864,0.070198,
15.221561,0.000000,-4.680149,0.000000,1287.140259,2052.690674,1862.941895,7.760694,1.728300,-0.175779,-1.276453,0.579123,-0.000741,0.815240,0.812845,-0.076081,-0.577490,-0.159800,4.000615,-1.407311,-9.659636,-37.882736,8.526407,-7.906645,26.246101,2.017632,2.017632,2.123145,2.160128,0.000000,-0.062154,0.133939,1.000000,1.000000,-0.002239,-0.083310,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-52.619476,-52.619476,-51.763336,-51.708038,0.000000,53.551895,-0.497220,-0.497220,-0.117373,0.015767,
15.320634,0.000000,-4.468403,0.000000,1287.308594,2052.672363,1863.067993,7.496608,1.658104,-0.184880,-1.246140,0.581302,0.002191,0.813685,0.811381,-0.076813,-0.579449,2.458857,2.753517,-3.072606,-8.467205,40.960709,-79.108681,-89.381096,18.576326,1.960439,1.960440,2.047439,2.085348,0.000000,-0.059369,0.118950,1.000000,1.000000,-0.017488,-0.069286,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-51.409637,-51.409637,-50.544342,-50.483124,0.000000,53.073486,-0.439027,-0.439026,-0.125830,0.010643,
15.420430,0.000000,-4.261593,0.000000,1287.472290,2052.655273,1863.189575,7.274494,1.616404,-0.140900,-1.204402,0.583320,0.001858,0.812240,0.809873,-0.077663,-0.581442,3.238601,4.891684,-1.426649,-3.209899,-41.115147,55.302822,40.384926,-13.424603,1.916074,1.916074,1.983895,2.017168,0.000000,-0.056473,0.106236,1.000000,1.000000,0.021432,-0.059556,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-50.262238,-50.262238,-49.392975,-49.325653,0.000000,53.309772,-0.376628,-0.376629,-0.132472,-0.012690,
15.519882,0.000000,-4.061218,0.000000,1287.630981,2052.645020,1863.309082,7.092127,1.571648,-0.103245,-1.183344,0.585096,0.003257,0.810958,0.808700,-0.077018,-0.583157,3.090979,4.529199,0.098915,-5.541788,-81.852280,-111.130440,-58.187157,-49.555752,1.877053,1.877053,1.949195,1.980058,0.000000,-0.054145,0.095753,1.000000,1.000000,-0.010783,-0.046008,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-49.166718,-49.166718,-48.296783,-48.225433,0.000000,53.022743,-0.334736,-0.334736,-0.075027,0.036083,
15.618843,0.000000,-3.865780,0.000000,1287.786621,2052.631592,1863.425171,6.942896,1.546724,-0.148758,-1.142342,0.586653,-0.000326,0.809838,0.807499,-0.075712,-0.584990,2.870258,1.289790,-3.375634,-5.816734,-29.885029,-7.105685,-89.039284,-17.453167,1.848390,1.848390,1.906351,1.938669,0.000000,-0.051934,0.087236,1.000000,1.000000,-0.022996,-0.038941,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-48.115936,-48.115936,-47.246796,-47.171539,0.000000,53.552048,-0.288693,-0.288693,-0.080033,0.036311,
15.717171,0.000000,-3.675671,0.000000,1287.939331,2052.617920,1863.538330,6.805561,1.509001,-0.131774,-1.131057,0.588242,-0.000556,0.808685,0.806590,-0.071524,-0.586768,2.588302,5.055186,-4.508391,-4.363272,-73.114731,9.126866,24.350657,-50.324997,1.840360,1.840360,1.892212,1.919626,0.000000,-0.050565,0.079582,1.000000,1.000000,0.025565,-0.035456,0.000000,1780.240234,1.000000,1.000000,0.000000,0.000000,-47.101044,-47.101044,-46.235016,-46.156891,0.000000,53.146965,-0.180266,-0.180266,0.006402,0.105092,
